$ emulator MultiCharts BTCUSDT.P 2m 20250904-20260904 (BTC_USDT_USDT-1m-futures.feather)
emulacia MultiCharts: 262800 barov 2m, 525600 1m, 0 HTF
  20000/262800 barov, 28 obchodov
  40000/262800 barov, 49 obchodov
  60000/262800 barov, 75 obchodov
  80000/262800 barov, 93 obchodov
  100000/262800 barov, 112 obchodov
  120000/262800 barov, 134 obchodov
  140000/262800 barov, 146 obchodov
  160000/262800 barov, 162 obchodov
  180000/262800 barov, 187 obchodov
  200000/262800 barov, 195 obchodov
  220000/262800 barov, 222 obchodov
  240000/262800 barov, 250 obchodov
  260000/262800 barov, 273 obchodov
hotovo: 280 obchodov, nerozhodnutelnych minut 0
kresby: {'orb_box': 261, 'orb_high': 261, 'orb_low': 261, 'orb_entry': 280}
